c000,1,0.080000009,9.46892E-09,1,0.0799999,1.00225E-07
c001,0,0.03,4.20408E-11,0,0.03,-4.20409E-11
c002,0,0.035000376,0.015000376,0,0.035000401,0.004999599
c003,0.174,0.049774048,0.003774048,0.174,0.050977656,0.004022344
c004,0.31,0.047375005,0.001375005,0.31,0.053391011,0.001608989
c005,0.11,2.95968E-09,2.95968E-09,0.11,-2.95968E-09,2.95968E-09
c006,0.35,0.049025063,-0.000974937,0.35,0.05097495,-0.00097495
c007,0.03,-0.000139037,-0.000139037,0.03,0.000139037,-0.000139037
c008,0.69,0.041287595,0.001287595,0.69,0.040507457,-0.000507457
c009,1,0.070000012,1.24247E-08,1,0.070000027,-2.69126E-08
c010,-0.25,-0.046249664,-0.001249664,-0.25,-0.048749142,-0.001250858
c011,0.269,0.040000014,1.40419E-08,0.269,0.040000006,-6.03421E-09
c012,0,-0.003,-5.6452E-11,0,-0.003,5.6452E-11
c013,0,-8.00000002,-1.96622E-08,0,-8.000000001,1.036E-09
c014,-0.3,0.099999976,-2.36593E-08,-0.3,0.099999989,1.08789E-08
c015,1,0.500000001,1.2289E-09,1,0.500000001,-1.2289E-09
c016,-0.1,-0.080000003,-3.13691E-09,-0.1,-0.079999991,-8.61514E-09
c017,0.1,0.080000003,3.13691E-09,0.1,0.079999991,8.61514E-09
c018,0.1,-0.200000006,-6.235E-09,0.1,-0.2,4.91567E-10
c019,0.1,0.149999998,-1.54581E-09,0.1,0.150000001,-8.34349E-10
c020,-0.32,-0.042500007,-0.002500007,-0.32,-0.047500205,-0.002499795
c021,0.32,0.042500007,0.002500007,0.32,0.047500205,0.002499795
c022,0.4,0.089999999,-8.34348E-10,0.4,0.089999995,4.76679E-09
c023,0.2,0.100000002,1.5652E-09,0.2,0.100000011,-1.13704E-08
c024,-0.32,-0.052500584,0.007499416,-0.32,-0.052500423,0.022500423
c025,0.32,0.052500584,-0.007499416,0.32,0.052500423,-0.022500423
c026,0,0.046250148,-0.003749852,0,0.04293863,-0.00793863
c027,0,0.050000001,6.95303E-10,0,0.050000001,-6.95303E-10
c028,0,0,0,0,0,0
c029,0,-2.50000039,-3.90334E-07,0,-2.500000025,2.47706E-08
c030,-0.324,-0.028883654,0.006116346,-0.324,-0.016116718,0.006116718
c031,0.324,0.030787603,-0.004212397,0.324,0.014212384,-0.004212384
c032,0.568,0.047910059,-0.002089941,0.568,0.052089913,-0.002089913
c033,1,0.23000037,-0.00999963,1,0.210000359,-0.010000359
c034,1,0.280000404,0.040000404,1,0.359999078,0.040000922
c035,0,-19.9999992,7.95284E-07,0,-19.99999988,-1.18489E-07
c036,0,19.99999988,-1.1849E-07,0,20.00000339,-3.38759E-06
c037,0,-9.999999644,3.56248E-07,0,-9.999999969,-3.13055E-08
c038,0,9.999999969,-3.13055E-08,0,10.00000127,-1.27468E-06
c039,35,3.999999646,-3.54437E-07,35,4.000006964,-6.96404E-06
c040,-35,-3.999999712,2.88208E-07,-35,-4.00000001,9.83006E-09
c041,0,0,0,0,-0.005000401,-0.004999599
c042,-50,-10.00000002,-2.45766E-08,-50,-10.00000002,2.45766E-08
c043,0,0,0,0,0.005000401,0.004999599
c044,50,9.999984527,-1.54734E-05,50,9.999996051,3.94926E-06
c045,0,6.000000015,1.47467E-08,0,6.000000467,-4.66977E-07
c046,0,1.000000004,3.87953E-09,0,1.000000006,-6.33846E-09
c047,0,-1.000000006,-6.33846E-09,0,-1.000000004,3.87953E-09
c048,0,-6.000000015,-1.47467E-08,0,-6.000000015,1.47466E-08
c049,-20,4.500000011,1.106E-08,-20,4.500000011,-1.106E-08
c050,20,4.500000011,1.106E-08,20,4.500000011,-1.106E-08
c051,0,10.02674887,0.08074887,0,10.02678245,-0.080782448
c052,0,6.044150709,0.134150709,0,6.045581786,-0.136581786
c053,0,-10.02678043,-0.080780431,0,-10.02674887,0.08074887
c054,0,-6.045581679,-0.136581679,0,-6.044150709,0.134150709
c055,0,0.035,-3.68655E-10,0,0.035,3.68655E-10
c056,0,-0.015,-2.10204E-11,0,-0.015,2.10204E-11
c057,0,-1.500000004,-3.68666E-09,0,-1.500000004,3.68666E-09
c058,0,0.052452542,0.022452542,0,0.052495506,0.007504494
c059,0,0.019999859,0.004999859,0,0.030000401,0.004999599
c060,0,0.013750964,-0.001249036,0,0.016249121,-0.006249121
c061,0,13.75008302,5.750083024,0,13.2500005,1.7499995
c062,1,0.200000023,2.26374E-08,1,0.199999955,4.4628E-08
c063,1,0.099999995,-4.72153E-09,1,0.099999956,4.40459E-08
c064,0,0.054999833,0.024999833,0,0.059999169,0.010000831
c065,0,-0.031989205,-0.016989205,0,-0.034488361,-0.000511639
c066,1,0.399999793,0.199999793,1,0.499999683,0.100000317
c067,0,20.75000233,-4.249997669,0,16.25000009,-8.250000093
c068,0,-0.005,1.80781E-11,0,-0.005,-1.80781E-11
c069,0,-20.74999416,4.250005836,0,-16.24995847,8.249958465
c070,-0.08,-0.040000002,-2.29477E-09,-0.08,-0.039999999,-1.1694E-09
c071,0.08,0.040000002,2.29477E-09,0.08,0.039999999,1.1694E-09
c072,-0.045,0.042582198,-0.000417802,-0.045,0.045416842,-0.000416842
c073,0.11,-0.043750691,-0.018750691,0.11,-0.043749581,-0.006250419
c074,0,-19.99999973,2.6544E-07,0,-19.99999988,-1.18489E-07
c075,0,35.00000052,5.24801E-07,0,35.00000396,-3.96465E-06
c076,0,-35.00000148,-1.47686E-06,0,-35.00000052,5.24801E-07
c077,0,0.040003696,3.69642E-06,0,0.039997014,2.98585E-06
